review_order,notebook_name,phase_label,predecessor,successor,branch_type,major_change_type,status,confidence,milestone_group,notes
1,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,early-monolithic-baseline,,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,baseline,monolithic-provenance,superseded,medium,baseline-origin,Original provenance notebook; conceptually the root of the whole project even though later notebooks split its responsibilities.
2,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,compact-proof-of-concept,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,consolidation,proof-of-concept-compaction,superseded,high,proof-of-concept,First successful compaction of the monolithic baseline into a rerunnable demonstration notebook.
3,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,"First large split of the early research pipeline into reusable training, calibration, and detector-preparation stages."
4,ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Second long-form research revision that tightens the page-localization branch and reduces some of the scaffolding duplication seen in notebook (2).
5,ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Research revision that keeps the long-form structure but pivots the ending toward an explicit quality-boost inference factory.
6,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Long-form research notebook that upgrades the geometry side of the pipeline and hardens training for more difficult page conditions.
7,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,synthetic-to-real-staged-research,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,refinement,staged-research-expansion,superseded,medium,staged-research,Continuation of the geometry-aware branch that promotes the phase-2 work into a higher-fidelity phase-3 inference engine.
8,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,architecture-hardening-combat-detector,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,milestone,architecture-switch-and-combat-detector-hardening,superseded,medium,combat-hardening,Turns stronger segmentation architecture and combat-mode YOLO training into an explicit late-stage strategy.
9,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,architecture-hardening-combat-detector,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,refinement,architecture-hardening,superseded,medium,combat-hardening,Optimization-focused follow-up to notebook (7) that keeps the same overall structure but retunes the segmentation branch with hybrid loss and AdamW.
10,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,architecture-hardening-combat-detector,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb,milestone,real-image-pseudolabel-finetuning,superseded,medium,combat-hardening,Represents the last large single-model research notebook and the clearest phase-10 fine-tuning milestone.
