checkpoint_name,canonical_name,first_appearance,last_appearance,training_notebooks,inference_notebooks,role,development_phase,replaced_by,final_status,confidence,notes
best.pt,best.pt,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (11).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (12).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (13).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (14).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (15).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (16).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (17).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (18).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (19).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (20).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (21).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (22).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (23).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (24).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (25).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (26).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (27).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (28).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (29).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (30).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (31).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (32).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (33).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (34).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (35).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (36).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (37).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (38).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (39).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (40).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (41).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (45).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (50).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (52).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (53).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (54).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (55).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,Primary 12-class YOLO lead detector artifact used for page-level lead localization.,lead-detector-deployment,,active,high,Survives into the final compact pipeline and the modular notebook. Aliases normalized under `best.pt`: best.pt.
best_model.pth,best_model,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb,,Earliest baseline segmentation checkpoint from the synthetic-only stage.,baseline-synthetic-segmentation,best_model_real_data.pt; best_model_phase2.pt; best_model_phase10,superseded,medium,"Main notebook saves `best_model.pth`; later notebooks usually refer to a `.pt` variant or successor checkpoints instead. Aliases normalized under `best_model`: best_model.pth, best_model.pt."
best_model_real_data.pt,best_model_real_data,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (3).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (4).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,,Early real-data adaptation checkpoint bridging synthetic pretraining and later phase-labeled fine-tuning.,early-real-data-adaptation,best_model_phase10,superseded,medium,"Referenced across early research notebooks and reused as historical context inside notebook (42). Aliases normalized under `best_model_real_data`: best_model_real_data.pt, best_model_real_data.pth."
best_model_phase2.pt,best_model_phase2,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (6).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,,Intermediate hardening-era segmentation checkpoint used in geometry and quality-boost experiments.,phase-2-hardening,best_model_phase10,superseded,medium,"Important as a bridge checkpoint, but not part of the final likely architecture. Aliases normalized under `best_model_phase2`: best_model_phase2.pt, best_model_phase2.pth."
best_model_phase7.pt,best_model_phase7,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,,Architecture-hardening checkpoint from the phase-7 branch.,phase-7-architecture-search,best_model_phase8.pt; best_model_phase10,superseded,low,"Only lightly evidenced in the audited corpus. Aliases normalized under `best_model_phase7`: best_model_phase7.pt, best_model_phase7.pth."
best_model_phase8.pt,best_model_phase8,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (8).ipynb,,Optimization-retuned checkpoint from the phase-8 branch.,phase-8-optimization,best_model_phase10,superseded,low,"Appears mainly as a handoff checkpoint before phase-10 fine-tuning takes over. Aliases normalized under `best_model_phase8`: best_model_phase8.pt, best_model_phase8.pth."
best_model_phase9.pt,best_model_phase9,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,,Late pre-phase-10 segmentation checkpoint retained as an alternate or predecessor reference.,phase-9-bridge,best_model_phase10; best_model_effb3_phase9_ddp,superseded,medium,"Acts more as lineage evidence than as a clearly surviving deployed artifact. Aliases normalized under `best_model_phase9`: best_model_phase9.pt, best_model_phase9.pth."
best_model_phase10.pth,best_model_phase10,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (11).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (12).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (13).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (14).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (15).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (16).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (17).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (18).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (19).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (20).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (21).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (22).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (23).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (24).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (25).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (26).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (27).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (28).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (29).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (30).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (31).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (32).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (33).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (34).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (35).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (36).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (37).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (38).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (39).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (40).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (41).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (45).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (50).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (52).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (53).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (54).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (55).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,Dominant phase-10 segmentation checkpoint from the real-image pseudo-label fine-tuning era.,phase-10-real-image-finetuning,best_model_effb3_phase9_ddp (2).pth,fallback-active,high,"Remains a core fallback or comparison model even after the EffB3 branch becomes first-class. Aliases normalized under `best_model_phase10`: best_model_phase10.pt, best_model_phase10.pth."
best_model_deeplab_ph10.pth,best_model_deeplab_ph10,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,DeepLabV3+ competitor branch checkpoint family created in the notebook (42) ensemble era.,ensemble-competitor-branch,,archive-benchmark,medium,"Important competitor artifact, but Phase 1 evidence does not show it becoming the default final deployment path. Aliases normalized under `best_model_deeplab_ph10`: best_model_deeplab_ph10.pt, best_model_deeplab_ph10.pth, temp_deeplab_base.pt."
best_model_efficientnet_ph10.pth,best_model_efficientnet_ph10,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (43).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (44).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (47).ipynb; ecg-sim2real-datagenerator-mohamad-sabbagh (48).ipynb,EfficientNet competitor branch created during notebook (42) before the later dedicated EffB3 deployment lineage.,ensemble-competitor-branch,best_model_effb3_phase9_ddp (2).pth,archive-benchmark,medium,"Serves as important evidence that EfficientNet-style encoders were being tested before the final EffB3 rollout. Aliases normalized under `best_model_efficientnet_ph10`: best_model_efficientnet_ph10.pt, best_model_efficientnet_ph10.pth, temp_effnet_base.pt."
