component_name,introduced_in,matured_in,deprecated_in,role,final_architecture_included,confidence,notes
Synthetic ECG renderer,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (1).ipynb,,Generates synthetic ECG pages and later survives as a qualitative debug surface.,yes,high,Starts as a data-generation engine and ends as an inspection tool for compact inference notebooks.
PTB-XL signal source,ecg-sim2real-datagenerator-mohamad-sabbagh (10).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (19).ipynb,,Provides waveform primitives for synthetic or renderer-backed debug flows.,no,medium,"Important for research and debugging lineage, but not part of the final competition inference loop."
YOLO lead detector,ecg-sim2real-datagenerator-mohamad-sabbagh (2).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,,Localizes 12-lead regions on competition pages before segmentation and decoding.,yes,high,Best represented by `best.pt` in the final likely architecture.
ResNet50 U-Net family,ecg-sim2real-datagenerator-mohamad-sabbagh (7).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,,Main segmentation family behind the dominant phase-10 checkpoint lineage.,yes,high,Likely survives as the legacy or fallback segmentation path once EffB3 is integrated.
EfficientNet-B3 U-Net family,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb,,Late competitor and then promoted deployment segmentation family.,yes,medium,Appears to become the preferred primary segmentation branch in the final compact era.
DeepLabV3+ branch,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb,Competitor segmentation branch used for multi-checkpoint comparison and ensemble experiments.,no,medium,"Important as a benchmark and provenance branch, not as the final deployed default."
Pseudo-labeling on real competition images,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,,Bridges synthetic pretraining and real-page fine-tuning for the phase-10 model family.,no,high,"Training-stage component rather than a runtime component, but essential to the phase-10 lineage."
Viterbi trace extraction,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,,Converts segmentation probability maps into one-dimensional waveforms.,yes,high,One of the clearest long-lived algorithmic survivors from the earliest notebooks to the final branch.
Adaptive extraction and quality gating,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (55).ipynb,,"Adds SNR-aware path selection, fallback behavior, and confidence-aware decoding.",yes,medium,Becomes especially visible in the V42-style late compact engines.
Calibration,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,,Maps pixel-space traces back to plausible physical scale using grid spacing and geometry cues.,yes,high,A core survivor; later notebooks only change how calibration is estimated and trusted.
Grid removal,ecg-sim2real-datagenerator-mohamad-sabbagh (5).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,,Suppresses ECG paper grid and background clutter before or during segmentation.,yes,medium,Remains part of the mature inference logic even when exact implementations change.
Filtering,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (9).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,Signal-domain cleanup such as high-pass removal of baseline wander and smoothing.,uncertain,medium,"Clearly important in the platinum research build, but not always explicit in the final modular notebook."
Resampling and timing normalization,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (40).ipynb,,Normalizes lead lengths and sampling assumptions to match competition output expectations.,yes,high,Becomes a defining theme of the compact deployment hardening era.
Submission validation,ecg-sim2real-datagenerator-mohamad-sabbagh.ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (41).ipynb,,"Checks schema, row counts, IDs, and output formatting before submission export.",yes,high,A persistent and increasingly explicit survivor across the notebook series.
Ensemble logic,ecg-sim2real-datagenerator-mohamad-sabbagh (42).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (46).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (49).ipynb,Combines or compares multiple segmentation families inside one inference path.,no,medium,"Valuable for experimentation and checkpoint selection, but not clearly the final operational default."
Modular final execution flow,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,ecg-sim2real-datagenerator-mohamad-sabbagh (56).ipynb,,"Separates bootstrap, config, indexing, model loading, utility logic, formatting, validation, and debugging.",yes,high,This is the clearest direct bridge to a future refactor-ready repository structure.
